Parcel(s),Building Name,Building Address,Postal Code,Full.Address,Floor Area,Property Type - Self Selected,PIM Link,Benchmark 2016 Status,2016 Reason for Exemption,Benchmark 2015 Status,2015 Reason for Exemption,Benchmark 2014 Status,2014 Reason for Exemption,Benchmark 2013 Status,2013 Reason for Exemption,Benchmark 2012 Status,2012 Reason for Exemption,Benchmark 2011 Status,2011 Reason for Exemption,Benchmark 2010 Status,2010 Reason for Exemption,Energy Audit Due Date,Energy Audit Status,Next Audit Due Date,Next Energy Audit Status,2016 ENERGY STAR Score,2016 Site EUI (kBtu/ft2),2016 Source EUI (kBtu/ft2),2016 Percent Better than National Median Site EUI,2016 Percentage Better than National Median Source EUI,2016 Total GHG Emissions (Metric Tons CO2e),2016 Total GHG Emissions Intensity (kgCO2e/ft2),2016 Weather Normalized Site EUI (kBtu/ft2),2016 Weather Normalized Source EUI (kBtu/ft2),2015 ENERGY STAR Score,2015 Site EUI (kBtu/ft2),2015 Source EUI (kBtu/ft2),2015 Percent Better than National Median Site EUI,2015 Percentage Better than National Median Source EUI,2015 Total GHG Emissions (Metric Tons CO2e),2015 Total GHG Emissions Intensity (kgCO2e/ft2),2015 Weather Normalized Site EUI (kBtu/ft2),2015 Weather Normalized Source EUI (kBtu/ft2),2014 ENERGY STAR Score,2014 Site EUI (kBtu/ft2),2014 Source EUI (kBtu/ft2),2014 Percent Better than National Median Site EUI,2014 Percent Better than National Median Source EUI,2014 Total GHG Emissions (Metric Tons CO2e),2014 Total GHG Emissions Intensity (kgCO2e/ft2),2014 Weather Normalized Site EUI (kBtu/ft2),2014 Weather Normalized Source EUI (kBtu/ft2),2013 ENERGY STAR Score,2013 Site EUI (kBtu/ft2),2013 Source EUI (kBtu/ft2),2013 Percent Better than National Median Site EUI,2013 Percent Better than National Median Source EUI,2013 Total GHG Emissions (Metric Tons CO2e),2013 Total GHG Emissions Intensity (kgCO2e/ft2),2013 Weather Normalized Site EUI (kBtu/ft2),2013 Weather Normalized Source EUI (kBtu/ft2),2012 ENERGY STAR Score,2012 Site EUI (kBtu/ft2),2012 Source EUI (kBtu/ft2),2012 Percent Better than National Median Site EUI,2012 Percent Better than National Median Source EUI,2012 Total GHG Emissions (Metric Tons CO2e),2012 Total GHG Emissions Intensity (kgCO2e/ft2),2012 Weather Normalized Site EUI (kBtu/ft2),2012 Weather Normalized Source EUI (kBtu/sq.ft),2011 ENERGY STAR Score,2011 Site EUI (kBtu/ft2),2011 Source EUI (kBtu/ft2),2011 Percent Better than National Median Site EUI,2011 Percent Better than National Median Source EUI,2011 Total GHG Emissions (Metric Tons CO2e),2011 Total GHG Emissions Intensity (kgCO2e/ft2),2011 Weather Normalized Site EUI (kBtu/ft2),2011 Weather Normalized Source EUI (kBtu/ft2)
0185/029,1469 PACIFIC AVE,1469 PACIFIC AVE,94109,"1469 PACIFIC AVE
San Francisco, CA 94109
(37.795322, -122.419442)",12270,,http://propertymap.sfplanning.org/?&search=0185/029,Violation - Did Not Report,,Violation - Did Not Report,,Violation - Did Not Report,,Violation - Did Not Report,,Violation - Did Not Report,,Exempt,Exempt - SqFt Not Subject This Year,Exempt,Exempt - SqFt Not Subject This Year,2014-04-01T00:00:00,Did Not Comply,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0257/012,Ritz Carlton San Francisco,600 STOCKTON ST,94108,"600 STOCKTON ST
San Francisco, CA 94108
(37.791708, -122.40743)",423706,Hotel,http://propertymap.sfplanning.org/?&search=0257/012,Complied,,Complied,,Violation - Did Not Report,,Exempt,Exempt - Change of Ownership,Violation - Did Not Report,,Complied,,Complied,,2013-04-01T00:00:00,Complied,2018-04-01T00:00:00,Upcoming,1,103.4,159.7,240.8,240.8,2780.5,6.6,106.2,163,1,103.9,157.4,206.1,206.1,2716,6.4,104.6,158.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,80,57.1,,-27.4,,1907.53,,57.1,
0257/001,Chen Properties - 717 California Street,717 CALIFORNIA ST,94108,"717 CALIFORNIA ST
San Francisco, CA 94108
(37.79242, -122.406165)",24166,Office,http://propertymap.sfplanning.org/?&search=0257/001,Complied,,Complied,,Complied,,Complied,,Complied,,Exempt,Exempt - SqFt Not Subject This Year,Exempt,Exempt - SqFt Not Subject This Year,2013-04-01T00:00:00,Complied,2018-04-01T00:00:00,Upcoming,86,48.7,139.6,-39.2,-39.2,85.8,3.5,139.6,12.4,51,77.2,228.3,-2.1,-2.1,147.5,6.1,77.5,226.9,,40.1,118.2,-20.1,-20.1,76.5,3.2,40.3,116.2,,42.5,120.4,-18.6,-18.6,79.5,3.3,42.2,119.3,,,,,,,,,,,,,,,,,,
0293/004,100 Post,100 Post St,94108,"100 Post St
San Francisco, CA 94108
(37.788854, -122.403979)",43174,Office,http://propertymap.sfplanning.org/?&search=0293/004,Complied,,Complied,,Complied,,Complied,,Complied,,Complied,,Exempt,Exempt - SqFt Not Subject This Year,2014-04-01T00:00:00,Complied,,,63,52.6,135.3,-14,-14,183.6,4.3,52.6,135.3,59,52.8,144.4,-10.3,-10.3,178.6,4.1,52.8,144.4,43,53.9,168.9,6.9,6.9,189.6,4.4,53.9,168.9,38,66,183.7,13,13.1,251,5.8,66,183.7,50,60.7,185.9,-1.1,,234.03,,59.5,184.5,,,,,,,,,
3704/022,982 Mission Street,980 MISSION ST,94103,"980 MISSION ST
San Francisco, CA 94103
(37.781342, -122.40824)",38537,Office,http://propertymap.sfplanning.org/?&search=3704/022,Complied,,Complied,,Complied,,Violation - Did Not Report,,Violation - Did Not Report,,Complied,,Exempt,Exempt - SqFt Not Subject This Year,2014-04-01T00:00:00,Pending,,,68,64.9,154.1,-19.2,-19.2,190.5,4.8,65.6,154.8,68,58.5,137.7,-18.9,-18.9,159.8,4.1,60.1,139.3,51,58.1,146.7,-1.1,-1.1,163.8,4.2,59.8,143.4,,,,,,,,,,,,,,,,,,,,,,,,,,,
0011/008,Anchorage Garage,500 BEACH ST,94133,"500 BEACH ST
San Francisco, CA 94133
(37.807019, -122.417737)",198525,Strip Mall,http://propertymap.sfplanning.org/?&search=0011/008,Exempt,,Complied,,Complied,,Complied,,Complied,,Complied,,Complied,,2013-04-01T00:00:00,Complied,2018-04-01T00:00:00,Upcoming,,,,,,,,,,,27,74.7,-68.5,-68.5,410.2,2.1,27,74.5,,27.5,76.9,-67.6,-67.6,419.6,2.1,27.5,76.9,,27.3,74.8,-68.5,-68.5,412.3,2.1,27.3,74.8,,25.9,72.3,-69.6,-69.6,395.1,2,25.9,72.3,,0,,,,83.82,,0,
0206/018,423 WASHINGTON ST,401 WASHINGTON ST,94111,"401 WASHINGTON ST
San Francisco, CA 94111
(37.795888, -122.400387)",15512,Office,http://propertymap.sfplanning.org/?&search=0206/018,Complied,,Complied,,Complied,,Complied,,Complied,,Exempt,Exempt - SqFt Not Subject This Year,Exempt,Exempt - SqFt Not Subject This Year,2014-04-01T00:00:00,Complied,,,64,46.1,144.7,-15.2,-15.2,62,4,46.1,144.7,70,43.9,137.9,-20.8,-20.8,55.5,3.6,43.9,137.9,66,45,141.4,-17.4,-17.4,57,3.7,45,141.4,70,43.9,137.8,-21.5,-21.5,59.9,3.9,43.9,137.8,,,,,,,,,,,,,,,,,,
0238/002,300 CALIFORNIA ST,300 CALIFORNIA ST,94104,"300 CALIFORNIA ST
San Francisco, CA 94104
(37.793178, -122.400289)",144380,Office,http://propertymap.sfplanning.org/?&search=0238/002,Complied,,Complied,,Complied,,Complied,,Complied,,Violation - Did Not Report,,Violation - Did Not Report,,2012-11-15T00:00:00,Exempt - LEED EBOM,2018-04-01T00:00:00,Exempt - LEED EBOM,86,63.6,156.8,-39.5,-39.5,534,4.4,67.4,160.9,81,73.6,176.9,,,645.3,5.3,74.9,178.3,79,77.1,180.9,-30.4,-30.4,668.9,5.5,79.6,183.5,80,78,180.7,-31.6,-31.6,672.7,5.5,78.1,180.7,80,84.5,182.1,-31.6,-31.6,706,5.8,82.8,181.5,,,,,,,,,
0670/022,1445 Bush St,1445 Bush St,94109,"1445 Bush St
San Francisco, CA 94109
(37.788609, -122.421018)",16400,Medical Office,http://propertymap.sfplanning.org/?&search=0670/022,Complied,,Complied,,Complied,,Exempt,,Exempt,,Exempt,Exempt - SqFt Not Subject This Year,Exempt,Exempt - SqFt Not Subject This Year,2016-04-01T00:00:00,Complied,,,80,25.6,76.7,-36.4,-36.4,31.2,2.2,24.7,73.7,80,26.4,79.4,-36.6,-36.6,30.3,2.1,26.1,77.7,75,28.7,85.2,-30.3,-30.3,32.7,2.3,27.8,82.5,,,,,,,,,,,,,,,,,,,,,,,,,,,
0108/007,Interland - 1160 Battery Street,1160 BATTERY ST,94111,"1160 BATTERY ST
San Francisco, CA 94111
(37.801803, -122.401703)",215400,Office,http://propertymap.sfplanning.org/?&search=0108/007,Complied,,Complied,,Complied,,Complied,,Complied,,Complied,,Complied,,2014-04-01T00:00:00,Complied,,,79,68.8,184.5,-30.6,-30.6,1176.8,5.5,68.8,184.5,71,90.9,208.1,-22.8,-22.8,1369.5,6.4,90,205.4,66,97.2,221.4,-16.9,-16.9,1462,6.8,99.3,221.2,60,109.8,241.7,-10.9,-10.8,1708.9,7.9,108.9,238.7,72,96,226.2,-23.1,,1544.66,,98.2,233.5,74,92.8,,-25.2,,1501.04,,93,
1580/003A,3630 BALBOA ST,3630 BALBOA ST,94121,"3630 BALBOA ST
San Francisco, CA 94121
(37.775678, -122.498076)",17690,Movie Theater,http://propertymap.sfplanning.org/?&search=1580/003A,Complied,,Complied,,Violation - Did Not Report,,Violation - Did Not Report,,Violation - Did Not Report,,Exempt,Exempt - SqFt Not Subject This Year,Exempt,Exempt - SqFt Not Subject This Year,2019-04-01T00:00:00,Upcoming,,,,49.9,90,5.7,5.7,54.1,3.1,51.5,91.7,,38.1,73.3,-13.8,-13.8,42.2,2.4,41,77.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0056/B002,LPF 150 Chestnut,150 CHESTNUT ST,94133,"150 CHESTNUT ST
San Francisco, CA 94133
(37.804566, -122.406353)",36642,Office,http://propertymap.sfplanning.org/?&search=0056/B002,Violation - Did Not Report,,Complied,,Complied,,Complied,,Complied,,Complied,,Violation - Insufficient Data,,2014-04-01T00:00:00,Complied,,,,,,,,,,,,,19.4,56.7,-61.7,-61.7,55.9,1.5,19.4,56.7,99,19.6,51.2,-68.8,-68.8,53.4,1.5,19.6,51.2,,15.6,41.1,-72.2,-72.2,42.7,1.2,15.6,41.1,81,41.3,124.2,-32.9,,129.04,,41.3,124.2,,,,,,,,,
1094/001,2675 Geary Blvd,2675 GEARY BLVD,94115,"2675 GEARY BLVD
San Francisco, CA 94115
(37.782258, -122.446952)",193938,Enclosed Mall,http://propertymap.sfplanning.org/?&search=1094/001,Complied,,Exempt,Exempt - New Construction,Exempt,Exempt - New Construction,Exempt,Exempt - New Construction,Exempt,Exempt - New Construction,Complied,,Complied,,2019-04-01T00:00:00,Upcoming,,,,62.1,185.6,-21.2,-21.2,949.9,4.6,62.1,185.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,100,1.9,,-98.3,,19.9,,1.9,
1844/001,I Kuan Tao Foundation of America,1407 9TH AVE,94122,"1407 9TH AVE
San Francisco, CA 94122
(37.761934, -122.466158)",17250,Worship Facility,http://propertymap.sfplanning.org/?&search=1844/001,Complied,,Complied,,Complied,,Complied,,Complied,,Exempt,Exempt - SqFt Not Subject This Year,Exempt,Exempt - SqFt Not Subject This Year,2013-04-01T00:00:00,Complied,,,3,58.8,98.9,119.3,119.3,64.2,3.7,58.8,98.9,7,51.5,82.4,82.3,82.3,53.8,3.1,51.5,82.4,15,50.3,67,54.8,54.8,49.4,2.9,50.3,67,90,14.4,26.2,-47.7,-47.7,15.8,0.9,14.4,26.2,,,,,,,,,,,,,,,,,,
0682/006,Baptist Church - 2135 Sutter St,2135 SUTTER ST,94115,"2135 SUTTER ST
San Francisco, CA 94115
(37.785804, -122.435572)",56455,Worship Facility,http://propertymap.sfplanning.org/?&search=0682/006,Complied,,Complied,,Complied,,Complied,,Complied,,Complied,,Complied,,2013-04-01T00:00:00,Complied,,,95,11,18.1,-56.6,-56.6,39,0.7,11.5,18.6,98,9.4,17.2,-66.5,-66.5,33.9,0.6,10.1,17.9,98,10.5,18,-63.7,-63.7,36.9,0.7,10.5,18,100,3.3,10.3,-81.6,-81.6,15.2,0.3,3.3,10.3,100,3.1,9.6,-76,,18.8,,3.1,9.6,90,16.1,,-47.6,,66.55,,16.2,69728
0236/017,100 California,100 CALIFORNIA ST,94111,"100 CALIFORNIA ST
San Francisco, CA 94111
(37.793504, -122.397998)",305853,Office,http://propertymap.sfplanning.org/?&search=0236/017,Complied,,Complied,,Complied,,Exempt,Exempt - Change of Ownership,Complied,,Complied,,Complied,,2014-04-01T00:00:00,Exempt - LEED EBOM,,,89,62.6,147.6,-43.2,-43.2,1420,4.6,65.7,150.9,92,51.3,134.6,-48.9,-48.9,1169.8,3.8,52.7,136.1,91,50.5,138.5,-46.9,-46.9,1175.8,3.8,52.9,140.9,,,,,,,,,,85,62.6,170.9,-38.5,,1547.4,,61.7,170,89,59.1,,-43.1,,1449.08,,57.2,
0328/002,2 Stockton,790 MARKET ST,94108,"790 MARKET ST
San Francisco, CA 94108
(37.785814, -122.405765)",71826,Retail Store,http://propertymap.sfplanning.org/?&search=0328/002,Complied,,Complied,,Complied,,Complied,,Complied,,Complied,,Complied,,2013-04-01T00:00:00,Complied,2018-04-01T00:00:00,Upcoming,27,99.4,270.8,32.6,32.6,509,7.1,99.4,270.8,24,103.2,286.7,38.1,38.1,568,7.9,103.2,286.7,19,102.3,307.8,50.4,50.4,586.1,8.2,102.3,307.8,14,121.3,340.2,62.3,62.3,670.6,9.3,121.3,340.2,12,126.2,361.7,70.8,,755.2,,126.2,361.7,78,40.5,,-34.2,,203.99,,39.7,
0508/028,Coventry Motor Inn,1901 LOMBARD ST,94123,"1901 LOMBARD ST
San Francisco, CA 94123
(37.800176, -122.433045)",24840,Hotel,http://propertymap.sfplanning.org/?&search=0508/028,Complied,,Complied,,Complied,,Complied,,Complied,,Complied,,Complied,,2013-04-01T00:00:00,Complied,,,66,60.8,120.6,-14,-14,103,4.1,62.2,125,66,62.3,123,-14.7,-14.7,101.7,4.1,62.3,123,62,64.7,125.5,-10.8,-10.8,104.8,4.2,65.7,128.7,58,70.2,136.2,-7.3,-7.3,118.4,4.8,70.3,136.5,,,,,,,,,,,,,,,,,,
0269/021,471 PINE ST,471 PINE ST,94104,"471 PINE ST
San Francisco, CA 94104
(37.791798, -122.403464)",12760,Office,http://propertymap.sfplanning.org/?&search=0269/021,Complied,,Complied,,Complied,,Complied,,Complied,,Exempt,Exempt - SqFt Not Subject This Year,Exempt,Exempt - SqFt Not Subject This Year,2013-04-01T00:00:00,Did Not Comply,,,98,13.7,43,-64.8,-64.8,13.3,1,14.7,46.3,98,14.7,46.2,-62.8,-62.8,14.3,1.1,15.3,48.2,97,15.9,49.8,-59.1,-59.1,16.5,1.3,17.3,54.4,98,15.4,48.4,-61.8,-61.8,16,1.3,15.3,48,,,,,,,,,,,,,,,,,,
0690/001,1243 Van Ness,1243 VAN NESS AVE,94109,"1243 VAN NESS AVE
San Francisco, CA 94109
(37.787387, -122.421809)",11760,Office,http://propertymap.sfplanning.org/?&search=0690/001,Complied,,Complied,,Complied,,Complied,,Complied,,Exempt,Exempt - SqFt Not Subject This Year,Exempt,Exempt - SqFt Not Subject This Year,2013-04-01T00:00:00,Complied,2018-04-01T00:00:00,Upcoming,,215.8,346.8,134.3,134.3,157.6,13.4,227.1,358.7,,221.8,361.1,143.9,143.9,159,13.5,227.3,366.8,,205.1,337.8,128.2,128.2,147.7,12.6,213.8,346.9,,221.3,356.7,189.7,189.8,162.5,13.8,221.7,357.1,,,,,,,,,,,,,,,,,,
0541/024,Union Street Plaza,2001 Union St,94123,"2001 Union St
San Francisco, CA 94123
(37.79746, -122.432519)",122396,,http://propertymap.sfplanning.org/?&search=0541/024,Violation - Did Not Report,,Violation - Did Not Report,,Complied,,Complied,,Violation - Insufficient Data,,Complied,,Violation - Did Not Report,,2014-04-01T00:00:00,Did Not Comply,,,,,,,,,,,,,,,,,,,,,8,128.2,282.7,57.6,57.6,576.9,8.8,128.2,282.7,21,105.2,248.1,29.5,29.5,487.8,7.5,105.4,248.3,,,,,,,,,,55,68.7,,-5.2,,408.35,,68.7,
1191/041,St. Mary's Medical Center,450 Stanyan St,94117,"450 Stanyan St
San Francisco, CA 94117
(37.77384, -122.454495)",560728,Hospital (General Medical & Surgical),http://propertymap.sfplanning.org/?&search=1191/041,Complied,,Complied,,Complied,,Complied,,Violation - Insufficient Data,,Complied,,Complied,,2015-04-01T00:00:00,Complied,,,83,207.3,349.1,-18.6,-18.6,6975.9,12.4,207.3,349.1,74,203.5,375.2,-12.9,-12.9,7044.8,12.6,204.2,374.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0304/015,Vantaggio Suites - 761 Post St,761 POST ST,94109,"761 POST ST
San Francisco, CA 94109
(37.787535, -122.414287)",67200,Hotel,http://propertymap.sfplanning.org/?&search=0304/015,Complied,,Exempt,Exempt - New Construction,Exempt,Exempt - New Construction,Exempt,Exempt - Demolished,Exempt,Exempt - Change of Ownership,Complied,,Complied,,2012-11-15T00:00:00,Complied,2018-04-01T00:00:00,Upcoming,68,90,175.5,-16.1,-16.1,372.1,6.7,90,175.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,84,77.9,,-31.8,,418.08,,68.7,
0239/026,199001 420 Montgomery Street,464 CALIFORNIA ST,94104,"464 CALIFORNIA ST
San Francisco, CA 94104
(37.792914, -122.402347)",380000,Financial Office,http://propertymap.sfplanning.org/?&search=0239/026,Complied,,Complied,,Complied,,Complied,,Complied,,Complied,,Complied,,2012-11-15T00:00:00,Exempt - ENERGY STAR,2018-04-01T00:00:00,Upcoming,93,50.7,118.1,-49.6,-49.6,1421,3.7,,,95,44.2,109.7,-53.9,-53.9,1219.1,3.2,,,95,46.7,113.7,-53.5,-53.5,1276.8,3.4,,,90,68.7,142,-44.9,-44.9,1748.3,4.6,,,90,68.7,141,-45.5,,1821.9,,65.4,137.5,,,,,,,,,
3615/023,2551 MISSION ST,2551 MISSION ST,94110,"2551 MISSION ST
San Francisco, CA 94110
(37.756205, -122.41882)",18654,,http://propertymap.sfplanning.org/?&search=3615/023,Violation - Did Not Report,,Violation - Did Not Report,,Violation - Did Not Report,,Exempt,Exempt - New Construction,Exempt,Exempt - New Construction,Exempt,Exempt - New Construction,Exempt,Exempt - SqFt Not Subject This Year,2018-04-01T00:00:00,Upcoming,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3508/039,875 Stevenson,875 STEVENSON ST,94103,"875 STEVENSON ST
San Francisco, CA 94103
(37.77652, -122.416428)",368280,Office,http://propertymap.sfplanning.org/?&search=3508/039,Complied,,Exempt,Exempt - Vacant,Exempt,Exempt - Vacant,Exempt,Exempt - Vacant,Complied,,Exempt,Exempt - Vacant,Exempt,Exempt - Vacant,2019-04-01T00:00:00,Upcoming,,,,43.4,98,-33.8,-33.8,1064.9,3.1,43.4,98,,,,,,,,,,,,,,,,,,,,,,,,,,,,,36.4,65.7,-46.5,,798.21,,35.3,64.6,,,,,,,,,
0522/001,2655 Van Ness Ave,2655 Van Ness Ave,94123,"2655 Van Ness Ave
San Francisco, CA 94123
(37.800156, -122.424379)",31050,,http://propertymap.sfplanning.org/?&search=0522/001,Violation - Did Not Report,,Violation - Did Not Report,,Violation - Did Not Report,,Violation - Did Not Report,,Violation - Did Not Report,,Violation - Did Not Report,,Exempt,Exempt - SqFt Not Subject This Year,2014-04-01T00:00:00,Did Not Comply,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0502/005G,2750 VAN NESS AVE,2750 VAN NESS AVE,94109,"2750 VAN NESS AVE
San Francisco, CA 94109
(37.801009, -122.424404)",24824,,http://propertymap.sfplanning.org/?&search=0502/005G,Violation - Did Not Report,,Violation - Did Not Report,,Violation - Did Not Report,,Violation - Did Not Report,,Violation - Did Not Report,,Violation - Did Not Report,,Exempt,Exempt - SqFt Not Subject This Year,2014-04-01T00:00:00,Did Not Comply,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3554/056,3068 16TH ST,3060 16TH ST,94103,"3060 16TH ST
San Francisco, CA 94103
(37.76496, -122.421051)",12000,Bank Branch,http://propertymap.sfplanning.org/?&search=3554/056,Complied,,Complied,,Complied,,Complied,,Complied,,Exempt,Exempt - SqFt Not Subject This Year,Exempt,Exempt - SqFt Not Subject This Year,2014-04-01T00:00:00,Complied,,,89,34.8,109.4,-43.7,-43.7,36.3,3,34.6,108.7,89,34.6,108.5,-44.2,-44.2,33.8,2.8,34,106.9,86,37.1,116.4,-39.5,-39.5,36.3,3,35.7,112,90,34.3,107.8,-46,-45.9,36.2,3,35,110,,,,,,,,,,,,,,,,,,
1250/025,Stanyan Park Hotel,750-756 Stanyan St,94117,"750 756 Stanyan St
San Francisco, CA 94117
(37.767927, -122.453293)",22000,Hotel,http://propertymap.sfplanning.org/?&search=1250/025,Complied,,Complied,,Complied,,Complied,,Violation - Did Not Report,,Violation - Did Not Report,,Exempt,Exempt - SqFt Not Subject This Year,2014-04-01T00:00:00,Complied,,,42,47.9,101.2,6.6,6.6,74,3.4,49.1,105.2,42,47.1,100.8,7.2,7.2,70.4,3.2,48,103.7,44,44.7,95.4,5.5,5.5,66.7,3,47,102.7,38,50.5,111.1,10.8,10.8,76.3,3.5,48.8,105.8,,,,,,,,,,,,,,,,,,
3511/074,1517 MISSION ST,1517 MISSION ST,94103,"1517 MISSION ST
San Francisco, CA 94103
(37.77406, -122.417448)",11500,,http://propertymap.sfplanning.org/?&search=3511/074,Violation - Did Not Report,,Violation - Did Not Report,,Complied,,Complied,,Violation - Did Not Report,,Exempt,Exempt - SqFt Not Subject This Year,Exempt,Exempt - SqFt Not Subject This Year,2013-04-01T00:00:00,Did Not Comply,,,,,,,,,,,,,,,,,,,,,,25.5,78.7,-21.6,-21.6,23.7,2.1,25.5,78.7,,30,88.1,-12.2,-12.2,27.2,2.4,30,88.1,,,,,,,,,,,,,,,,,,
7295/038,Stonestown Galleria,3251 20TH AVE,94132,"3251 20TH AVE
San Francisco, CA 94132
(37.727839, -122.475609)",,,http://propertymap.sfplanning.org/?&search=7295/038,Violation - Did Not Report,,Violation - Did Not Report,,Exempt,,Exempt,,Exempt,,Exempt,,Exempt,,2014-04-01T00:00:00,Did Not Comply,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3764/061,340 BRYANT ST,340 BRYANT ST,94107,"340 BRYANT ST
San Francisco, CA 94107
(37.783944, -122.392476)",48004,,http://propertymap.sfplanning.org/?&search=3764/061,Violation - Did Not Report,,Exempt,Exempt - New Construction,Exempt,Exempt - New Construction,Exempt,Exempt - New Construction,Exempt,,Violation - Did Not Report,,Exempt,Exempt - SqFt Not Subject This Year,2020-04-01T00:00:00,Upcoming,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0350/004,1072 MARKET ST,1072 MARKET ST,94102,"1072 MARKET ST
San Francisco, CA 94102
(37.781322, -122.411457)",48811,Worship Facility,http://propertymap.sfplanning.org/?&search=0350/004,Complied,,Complied,,Violation - Did Not Report,,Violation - Did Not Report,,Violation - Did Not Report,,Violation - Did Not Report,,Exempt,Exempt - SqFt Not Subject This Year,2013-04-01T00:00:00,Complied,,,,17.1,48.8,-30.9,-30.9,68.6,1.4,18,49.7,,16.7,48.4,-31.5,-31.5,67.6,1.4,16.9,48.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0743/203,711 Van Ness,711 VAN NESS AVE,94102,"711 VAN NESS AVE
San Francisco, CA 94102
(37.781914, -122.420715)",141469,Office,http://propertymap.sfplanning.org/?&search=0743/203,Complied,,Complied,,Complied,,Complied,,Complied,,Complied,,Exempt,,2014-04-01T00:00:00,Complied,,,70,82.4,163,-19.9,-19.9,532.6,5.6,85.6,166.3,60,92.1,182.4,,,575.3,6.1,92.6,180.9,,90.8,178.7,20.7,20.7,565.6,6,92.6,176.5,41,91.5,177.8,9.1,9.1,585.3,6.2,92.8,181.8,43,89.2,186.4,7.7,,590.35,,90,189.3,,,,,,,,,
3703/058,1035 Market St,1035 MARKET ST,94103,"1035 MARKET ST
San Francisco, CA 94103
(37.781595, -122.411106)",95832,Office,http://propertymap.sfplanning.org/?&search=3703/058,Complied,,Complied,,Complied,,Complied,,Complied,,Complied,,Complied,,2014-04-01T00:00:00,Complied,,,94,24,72.4,-52.9,-52.9,196.4,2,24.1,72.6,91,26.3,80.4,-47.7,-47.7,204.1,2.1,26.2,79.8,89,27.3,85.3,-43.8,-43.8,213.1,2.2,27.3,85.3,89,28.9,88,-44.5,-44.5,223.6,2.3,28.6,87.7,90,28.5,86.6,-45.5,-45.5,220.6,2.3,28.5,86.5,,,,,,,,,
0296/008,442 POST ST,442 POST ST,94102,"442 POST ST
San Francisco, CA 94102
(37.788203, -122.409138)",21608,Office,http://propertymap.sfplanning.org/?&search=0296/008,Complied,,Complied,,Complied,,Complied,,Violation - Insufficient Data,,Violation - Did Not Report,,Exempt,Exempt - SqFt Not Subject This Year,2013-04-01T00:00:00,Complied,,,100,18,50.5,-70.6,-70.6,31.7,1.5,18.9,51.3,100,17.8,50.2,-70.6,-70.6,29.7,1.4,18.4,50.8,100,13.7,39.5,-76.4,-76.4,23.1,1.1,13.7,39.5,98,22.2,64.5,-63.4,-63.4,37.6,1.7,21.9,64.2,,,,,,,,,,,,,,,,,,
0142/001,855 Battery Street,855 BATTERY ST,94111,"855 BATTERY ST
San Francisco, CA 94111
(37.799187, -122.401181)",233609,Office,http://propertymap.sfplanning.org/?&search=0142/001,Complied,,Complied,,Complied,,Complied,,Complied,,Complied,,Complied,,2014-04-01T00:00:00,Complied,,,67,76.4,209.7,-18,-18,1434.7,6.1,77.5,210.8,64,80.9,220.8,-14.9,-14.9,1515,6.5,81,219.9,60,84.5,229,-10.7,-10.7,1494.2,6.4,84.5,227.2,57,89.5,239.7,-8.2,-8.1,1573.7,6.7,89.6,239.5,60,86.7,246.9,-11.3,,1676.19,,86.8,247,58,90.2,,-9.3,,1733.07,,88.8,
1535/041,4545 GEARY BLVD,4545 GEARY BLVD,94118,"4545 GEARY BLVD
San Francisco, CA 94118
(37.780779, -122.468192)",16295,,http://propertymap.sfplanning.org/?&search=1535/041,Violation - Did Not Report,,Violation - Did Not Report,,Violation - Did Not Report,,Violation - Did Not Report,,Violation - Did Not Report,,Exempt,Exempt - SqFt Not Subject This Year,Exempt,Exempt - SqFt Not Subject This Year,2013-04-01T00:00:00,Did Not Comply,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
